day,measure,ch4_standard_1_percent,id,GC_value,tech_average,percent_CH4,biogas_volumn_ml,methane_volume,stp_at_37_normalizing_factor,normalized_methane_volume_ml,combined_normalized_methane_volume_ml,combined_methane_percent
2,CH4,46396.923,R1,1426918,1294020.33333333,27.8902187831148,8140,2270.26380894555,0.8516,1933.35665969803,,
2,CH4,46396.923,,1438062,,,,,,,,
2,CH4,46396.923,,1017081,,,,,,,,
2,CH4,46396.923,R2,1522664,1516663.66666667,32.6888847061402,4200,1372.93315765789,0.8516,1169.18987706146,,
2,CH4,46396.923,,1536243,,,,,,,,
2,CH4,46396.923,,1491084,,,,,,,,
2,CH4,46396.923,R3,1550467,1596898.66666667,34.4182019714253,4400,1514.40088674271,0.8516,1289.66379515009,,
2,CH4,46396.923,,1636399,,,,,,,,
2,CH4,46396.923,,1603830,,,,,,,,
2,CH4,46396.923,P0R1A,1145308,1115972,24.0527157372052,20,4.81054314744105,0.8516,4.0966585443608,9.64924200779435,32.373
2,CH4,46396.923,,1085276,,,,,,,,
2,CH4,46396.923,,1117332,,,,,,,,
2,CH4,46396.923,P0R1B,2014178,1940046.33333333,41.814116279507,12,5.01769395354084,0.8516,4.27306817083538,,
2,CH4,46396.923,,1907177,,,,,,,,
2,CH4,46396.923,,1898784,,,,,,,,
2,CH4,46396.923,P0R1C,2314616,2323687.66666667,50.0827967981124,3,1.50248390394337,0.8516,1.27951529259818,,
2,CH4,46396.923,,2256105,,,,,,,,
2,CH4,46396.923,,2400342,,,,,,,,
2,CH4,46396.923,P0R2A,1504093,1592883,34.3316516916434,22,7.55296337216156,0.8516,6.43210360773278,7.13187908284349,34.8945078031719
2,CH4,46396.923,,1654296,,,,,,,,
2,CH4,46396.923,,1620260,,,,,,,,
2,CH4,46396.923,P0R2B,1873343,1906260.5,41.0859250299853,2,0.821718500599706,0.8516,0.699775475110709,,
2,CH4,46396.923,,1939178,,,,,,,,
2,CH4,46396.923,P0R3,1512220,1542896.66666667,33.2542885800135,21,6.98340060180284,0.8516,5.9470639524953,5.9470639524953,33.2542885800135
2,CH4,46396.923,,1568210,,,,,,,,
2,CH4,46396.923,,1548260,,,,,,,,
2,CH4,46396.923,P1R1,1657363,1665101.33333333,35.8881845102817,23,8.2542824373648,0.8516,7.02934692365986,7.02934692365986,35.8881845102817
2,CH4,46396.923,,1644418,,,,,,,,
2,CH4,46396.923,,1693523,,,,,,,,
2,CH4,46396.923,P1R2A,720320,751251.333333333,16.1918352502241,12,1.94302023002689,0.8516,1.6546760278909,12.2789238607339,32.769663149403
2,CH4,46396.923,,756170,,,,,,,,
2,CH4,46396.923,,777264,,,,,,,,
2,CH4,46396.923,P1R2B,1624035,1649582.33333333,35.5537011222346,23,8.17735125811396,0.8516,6.96383233140985,,
2,CH4,46396.923,,1660115,,,,,,,,
2,CH4,46396.923,,1664597,,,,,,,,
2,CH4,46396.923,P1R2C,2181669,2215855.33333333,47.758669973294,9,4.29828029759646,0.8516,3.66041550143315,,
2,CH4,46396.923,,2197279,,,,,,,,
2,CH4,46396.923,,2268618,,,,,,,,
2,CH4,46396.923,P1R3A,1573494,1595211.33333333,34.381834617208,23,7.90782196195784,0.8516,6.73430118280329,9.91741033901465,37.5665174435016
2,CH4,46396.923,,1630593,,,,,,,,
2,CH4,46396.923,,1581547,,,,,,,,
2,CH4,46396.923,P1R3B,2195470,2167779.33333333,46.7224805690958,8,3.73779844552766,0.8516,3.18310915621136,,
2,CH4,46396.923,,2170673,,,,,,,,
2,CH4,46396.923,,2137195,,,,,,,,
2,CH4,46396.923,P2R1,1901291,1956039.66666667,42.1588230466634,19,8.01017637886604,0.8516,6.82146620424232,6.82146620424232,42.1588230466634
2,CH4,46396.923,,1979557,,,,,,,,
2,CH4,46396.923,,1987271,,,,,,,,
2,CH4,46396.923,P2R2A,1983763,2014294.66666667,43.4144019996039,12,5.20972823995247,0.8516,4.43660456914352,8.69446541018823,46.4071128687616
2,CH4,46396.923,,2027911,,,,,,,,
2,CH4,46396.923,,2031210,,,,,,,,
2,CH4,46396.923,P2R2B,2300010,2319770.33333333,49.998365911751,10,4.9998365911751,0.8516,4.25786084104471,,
2,CH4,46396.923,,2383886,,,,,,,,
2,CH4,46396.923,,2275415,,,,,,,,
2,CH4,46396.923,P2R3A,806956,806565.333333333,17.3840263789332,13,2.25992342926132,0.8516,1.92455079235894,9.56388908129389,35.2692555351857
2,CH4,46396.923,,804155,,,,,,,,
2,CH4,46396.923,,808585,,,,,,,,
2,CH4,46396.923,P2R3B,1946717,1965868.33333333,42.3706618073214,12,5.08447941687857,0.8516,4.32994267141379,,
2,CH4,46396.923,,1946982,,,,,,,,
2,CH4,46396.923,,2003906,,,,,,,,
2,CH4,46396.923,P2R3C,2189290,2253783.66666667,48.5761451608907,8,3.88609161287125,0.8516,3.30939561752116,,
2,CH4,46396.923,,2278654,,,,,,,,
2,CH4,46396.923,,2293407,,,,,,,,
2,CH4,46396.923,P3R1,1523151,1566915.33333333,33.771966587813,20,6.7543933175626,0.8516,5.75204134923631,,33.771966587813
2,CH4,46396.923,,1590372,,,,,,,,
2,CH4,46396.923,,1587223,,,,,,,,
2,CH4,46396.923,P3R2,1787499,1792715,38.6386614474412,18,6.95495906053943,0.8516,5.92284313595537,,38.6386614474412
2,CH4,46396.923,,1785342,,,,,,,,
2,CH4,46396.923,,1805304,,,,,,,,
2,CH4,46396.923,P3R3,1403931,1397168.66666667,30.1133906372771,19,5.72154422108265,0.8516,4.87246705867399,,30.1133906372771
2,CH4,46396.923,,1391382,,,,,,,,
2,CH4,46396.923,,1396193,,,,,,,,
