day,measure,id,glass_weight,wet_combined_weight,wet_sample_weight,dry_weights,ash_weight,total_solids,volitile_solids,average_vs,ts_percent,vs_percent,vs_total,average_ts_percent,average_cs_percent
0,VS,R1A,20.6937,40.2181,19.5244,21.3380,20.9355,0.6443,0.4025,0.3937,3.3000,2.0615,62.4709,3.2802,2.0489
0,VS,R1B,20.7378,39.8562,19.1184,21.3574,20.9708,0.6196,0.3866,,3.2409,2.0221,62.3951,,
0,VS,R1C,20.5424,39.5383,18.9959,21.1692,20.7773,0.6268,0.3919,,3.2997,2.0631,62.5239,,
0,VS,R2A,20.7733,40.9149,20.1416,21.4490,21.0213,0.6757,0.4277,0.4226,3.3547,2.1235,63.2973,3.2939,2.0710
0,VS,R2B,20.4798,39.7632,19.2834,21.1140,20.7169,0.6342,0.3971,,3.2888,2.0593,62.6143,,
0,VS,R2C,20.6582,42.4766,21.8184,21.3647,20.9217,0.7065,0.4430,,3.2381,2.0304,62.7035,,
0,VS,R3A,20.3812,41.1816,20.8004,21.1477,20.6742,0.7665,0.4735,0.4955,3.6850,2.2764,61.7743,3.6250,2.2213
0,VS,R3B,20.6859,45.0773,24.3914,21.5646,21.0296,0.8787,0.5350,,3.6025,2.1934,60.8854,,
0,VS,R3C,20.6070,42.3915,21.7845,21.3885,20.9105,0.7815,0.4780,,3.5874,2.1942,61.1644,,
0,VS,P0R1A,20.7556,28.4094,7.6538,21.0297,20.8570,0.2741,0.1727,0.1892,3.5812,2.2564,63.0062,3.6553,2.2039
0,VS,P0R1B,20.5672,28.5391,7.9719,20.8469,20.6754,0.2797,0.1715,,3.5086,2.1513,61.3157,,
0,VS,P0R2A,20.6271,29.1430,8.5159,20.9445,20.7412,0.3174,0.2033,,3.7271,2.3873,64.0517,,2.3788
0,VS,P0R2B,20.4794,29.4529,8.9735,20.8245,20.6118,0.3451,0.2127,,3.8458,2.3703,61.6343,,
0,VS,P0R3A,20.5237,28.7212,8.1975,20.8409,20.6387,0.3172,0.2022,,3.8695,2.4666,63.7453,,2.2922
0,VS,P0R3B,20.5788,28.7477,8.1689,20.8565,20.6835,0.2777,0.1730,,3.3995,2.1178,62.2974,,
0,VS,P1R1A,20.3504,28.6109,8.2605,20.6052,20.4475,0.2548,0.1577,0.1873,3.0846,1.9091,61.8917,3.7027,2.3251
0,VS,P1R1B,20.5734,28.9424,8.3690,20.9367,20.7073,0.3633,0.2294,,4.3410,2.7411,63.1434,,
0,VS,P1R2A,20.3222,28.4354,8.1132,20.6341,20.4395,0.3119,0.1946,,3.8444,2.3986,62.3918,,2.2745
0,VS,P1R2B,20.7618,29.4581,8.6963,21.0667,20.8797,0.3049,0.1870,,3.5061,2.1503,61.3316,,
0,VS,P1R3A,20.5563,28.3220,7.7657,20.8525,20.6694,0.2962,0.1831,,3.8142,2.3578,61.8163,,2.2668
0,VS,P1R3B,20.7892,28.7037,7.9145,21.0762,20.9040,0.2870,0.1722,,3.6263,2.1758,60.0000,,
0,VS,P2R1A,20.5778,29.6432,9.0654,20.8848,20.6849,0.3070,0.1999,0.2086,3.3865,2.2051,65.1140,3.4238,2.2404
0,VS,P2R1B,20.6970,29.9601,9.2631,21.0186,20.8078,0.3216,0.2108,,3.4718,2.2757,65.5473,,
0,VS,P2R2A,20.5632,29.9093,9.3461,20.8815,20.6746,0.3183,0.2069,,3.4057,2.2138,65.0016,,2.2354
0,VS,P2R2B,20.6509,30.5621,9.9112,21.0046,20.7809,0.3537,0.2237,,3.5687,2.2570,63.2457,,
0,VS,P2R3A,20.7976,30.4476,9.6500,21.1228,20.9104,0.3252,0.2124,,3.3699,2.2010,65.3137,,2.1951
0,VS,P2R3B,20.3857,29.4303,9.0446,20.6878,20.4898,0.3021,0.1980,,3.3401,2.1892,65.5412,,
0,VS,P3R1A,20.6398,30.3555,9.7157,20.9522,20.7468,0.3124,0.2054,0.2001,3.2154,2.1141,65.7490,3.2877,2.1617
0,VS,P3R1B,20.3715,28.3512,7.9797,20.6388,20.4625,0.2673,0.1763,,3.3497,2.2094,65.9559,,
0,VS,P3R2A,20.6431,29.5100,8.8669,20.9345,20.7432,0.2914,0.1913,,3.2864,2.1575,65.6486,,2.1624
0,VS,P3R2B,20.6695,30.3540,9.6845,20.9887,20.7788,0.3192,0.2099,,3.2960,2.1674,65.7581,,
0,VS,P3R3A,20.6584,31.2971,10.6387,21.0088,20.7761,0.3504,0.2327,,3.2936,2.1873,66.4098,,2.1597
0,VS,P3R3B,20.5927,29.2559,8.6632,20.8773,20.6926,0.2846,0.1847,,3.2852,2.1320,64.8981,,
0,VS,P4R1A,20.7625,29.0169,8.2544,21.0349,20.8922,0.2724,0.1427,0.1673,3.3001,1.7288,52.3862,3.3442,1.6713
0,VS,P4R1B,20.3959,29.6970,9.3011,20.7014,20.5513,0.3055,0.1501,,3.2846,1.6138,49.1326,,
0,VS,P4R2A,20.7245,29.7720,9.0475,21.0240,20.8403,0.2995,0.1837,,3.3103,2.0304,61.3356,,1.9959
0,VS,P4R2B,20.5784,30.2094,9.6310,20.9069,20.7180,0.3285,0.1889,,3.4109,1.9614,57.5038,,
0,VS,P4R3A,20.5172,27.1658,6.6486,20.7490,20.6125,0.2318,0.1365,,3.4864,2.0531,58.8870,,2.0797
0,VS,P4R3B,20.6789,30.2734,9.5945,20.9929,20.7908,0.3140,0.2021,,3.2727,2.1064,64.3631,,
0,VS,FS1,20.4605,38.7819,18.3214,22.0504,21.1344,1.5899,0.9160,0.9840,8.6778,4.9996,57.6137,8.7308,5.1501
0,VS,FS2,20.4810,39.7911,19.3101,22.1501,21.1937,1.6691,0.9564,,8.6437,4.9528,57.3003,,
0,VS,FS3,20.7433,39.5217,18.7784,22.3699,21.3753,1.6266,0.9946,,8.6621,5.2965,61.1459,,
0,VS,FS4,20.5063,41.2107,20.7044,22.3539,21.2869,1.8476,1.0670,,8.9237,5.1535,57.7506,,
0,VS,FS5,20.4563,38.8963,18.4400,22.0692,21.0830,1.6129,0.9862,,8.7467,5.3482,61.1445,,
7,VS,R1A,20.5305,41.7950,21.2645,21.1650,20.7991,0.6345,0.3659,0.3528,2.9838,1.7207,57.6675,2.9686,1.7632
7,VS,R1B,20.5134,39.2075,18.6941,21.0680,20.7359,0.5546,0.3321,,2.9667,1.7765,59.8810,,
7,VS,R1C,20.9120,41.0259,20.1139,21.5064,21.1459,0.5944,0.3605,,2.9552,1.7923,60.6494,,
7,VS,R2A,20.4792,44.3731,23.8939,21.2079,20.7710,0.7287,0.4369,0.4123,3.0497,1.8285,59.9561,3.0628,1.8475
7,VS,R2B,20.3311,43.6046,23.2735,21.0490,20.6151,0.7179,0.4339,,3.0846,1.8644,60.4402,,
7,VS,R2C,20.8388,40.6382,19.7994,21.4435,21.0773,0.6047,0.3662,,3.0541,1.8496,60.5590,,
7,VS,R3A,20.7371,42.6091,21.8720,21.4165,21.0102,0.6794,0.4063,0.4103,3.1063,1.8576,59.8028,3.1184,1.8888
7,VS,R3B,20.5842,40.5805,19.9963,21.2100,20.8291,0.6258,0.3809,,3.1296,1.9049,60.8661,,
7,VS,R3C,20.4305,43.7301,23.2996,21.1573,20.7137,0.7268,0.4436,,3.1194,1.9039,61.0347,,
7,VS,P0R1A,20.7899,30.8528,10.0629,21.0746,20.8872,0.2847,0.1874,0.1938,2.8292,1.8623,65.8237,2.9520,1.8464
