day,measure,id,pH,average_pH
0,pH,R1,7.95,7.67333333333333
0,pH,R2,7.52,
0,pH,R3,7.55,
0,pH,P0R1,8.08,8.07333333333333
0,pH,P0R2,8.09,
0,pH,P0R3,8.05,
0,pH,P1R1,8.28,8.05666666666667
0,pH,P1R2,8.01,
0,pH,P1R3,7.88,
0,pH,P2R1,8.07,8.13333333333333
0,pH,P2R2,8.16,
0,pH,P2R3,8.17,
0,pH,P3R1,8.11,8.12333333333333
0,pH,P3R2,8.14,
0,pH,P3R3,8.12,
0,pH,P4R1,8.12,8.07333333333333
0,pH,P4R2,8.04,
0,pH,P4R3,8.06,
0,pH,FS1,6.68,6.695
0,pH,FS2,6.71,
7,pH,R1,7.81,7.74666666666667
7,pH,R2,7.67,
7,pH,R3,7.76,
7,pH,P0R1,7.7,7.68666666666667
7,pH,P0R2,7.73,
7,pH,P0R3,7.63,
7,pH,P1R1,7.76,7.76333333333333
7,pH,P1R2,7.81,
7,pH,P1R3,7.72,
7,pH,P2R1,7.45,7.55
7,pH,P2R2,7.8,
7,pH,P2R3,7.4,
7,pH,P3R1,7.25,7.58333333333333
7,pH,P3R2,7.74,
7,pH,P3R3,7.76,
7,pH,P4R1,7.78,7.59333333333333
7,pH,P4R2,7.29,
7,pH,P4R3,7.71,
14,pH,R1,8.04,7.92666666666667
14,pH,R2,7.86,
14,pH,R3,7.88,
14,pH,P0R1,8,7.96333333333333
14,pH,P0R2,7.99,
14,pH,P0R3,7.9,
14,pH,P1R1,7.91,7.93333333333333
14,pH,P1R2,7.94,
14,pH,P1R3,7.95,
14,pH,P2R1,7.95,7.96666666666667
14,pH,P2R2,7.98,
14,pH,P2R3,7.97,
14,pH,P3R1,7.96,7.93
14,pH,P3R2,7.91,
14,pH,P3R3,7.92,
14,pH,P4R1,7.95,7.91
14,pH,P4R2,7.93,
14,pH,P4R3,7.85,
21,pH,R1,7.78,7.82333333333333
21,pH,R2,7.84,
21,pH,R3,7.85,
21,pH,P0R1,7.91,7.95666666666667
21,pH,P0R2,7.99,
21,pH,P0R3,7.97,
21,pH,P1R1,7.86,7.83
21,pH,P1R2,8.02,
21,pH,P1R3,7.61,
21,pH,P2R1,7.83,7.84666666666667
21,pH,P2R2,7.83,
21,pH,P2R3,7.88,
21,pH,P3R1,7.94,7.92666666666667
21,pH,P3R2,7.87,
21,pH,P3R3,7.97,
21,pH,P4R1,7.95,7.83333333333333
21,pH,P4R2,8.03,
21,pH,P4R3,7.52,
28,pH,R1,7.88,7.84
28,pH,R2,7.79,
28,pH,R3,7.85,
28,pH,P0R1,8.3,8.06333333333333
28,pH,P0R2,8.08,
28,pH,P0R3,7.81,
28,pH,P1R1,8.09,7.98
28,pH,P1R2,8.21,
28,pH,P1R3,7.64,
28,pH,P2R1,8.07,8.11333333333333
28,pH,P2R2,8.11,
28,pH,P2R3,8.16,
28,pH,P3R1,8.06,8.04
28,pH,P3R2,7.95,
28,pH,P3R3,8.11,
28,pH,P4R1,8.08,8.15
28,pH,P4R2,8.16,
28,pH,P4R3,8.21,
