day,measure,id,dilue_value_1_in_50,mg_nh3_per_L,average_mg_nh3_per_L
0,NH3,R1A,18.3,915,930
0,NH3,R1B,18.9,945,
0,NH3,R2A,19.4,970,945
0,NH3,R2B,18.4,920,
0,NH3,R3A,18.4,920,935
0,NH3,R3B,19,950,
0,NH3,P0R1,17.3,865,881.666666666667
0,NH3,P0R2,17.9,895,
0,NH3,P0R3,17.7,885,
0,NH3,P1R1,17.7,885,856.666666666667
0,NH3,P1R2,17.5,875,
0,NH3,P1R3,16.2,810,
0,NH3,P2R1,16.1,805,836.666666666667
0,NH3,P2R2,17,850,
0,NH3,P2R3,17.1,855,
0,NH3,P3R1,17.6,880,878.333333333333
0,NH3,P3R2,17.5,875,
0,NH3,P3R3,17.6,880,
0,NH3,P4R1,17.8,890,895
0,NH3,P4R2,18,900,
0,NH3,P4R3,17.9,895,
7,NH3,R1A,20,1000,1010
7,NH3,R1B,20.4,1020,
7,NH3,R2A,18.5,925,922.5
7,NH3,R2B,18.4,920,
7,NH3,R3A,21.9,1095,1080
7,NH3,R3B,21.3,1065,
7,NH3,P0R1,17.1,855,848.333333333333
7,NH3,P0R2,15.6,780,
7,NH3,P0R3,18.2,910,
7,NH3,P1R1,16.5,825,811.666666666667
7,NH3,P1R2,15.2,760,
7,NH3,P1R3,17,850,
7,NH3,P2R1,18.8,940,948.333333333333
7,NH3,P2R2,19.6,980,
7,NH3,P2R3,18.5,925,
7,NH3,P3R1,18.4,920,930
7,NH3,P3R2,18.4,920,
7,NH3,P3R3,19,950,
7,NH3,P4R1,18.5,925,946.666666666667
7,NH3,P4R2,20,1000,
7,NH3,P4R3,18.3,915,
14,NH3,R1A,24.6,1230,1220
14,NH3,R1B,24.2,1210,
14,NH3,R2A,24.7,1235,1237.5
14,NH3,R2B,24.8,1240,
14,NH3,R3A,25,1250,1240
14,NH3,R3B,24.6,1230,
14,NH3,P0R1,21.9,1095,1070
14,NH3,P0R2,20.8,1040,
14,NH3,P0R3,21.5,1075,
14,NH3,P1R1,21.3,1065,1055
14,NH3,P1R2,21,1050,
14,NH3,P1R3,21,1050,
14,NH3,P2R1,20.5,1025,1086.66666666667
14,NH3,P2R2,22.6,1130,
14,NH3,P2R3,22.1,1105,
14,NH3,P3R1,18.7,935,1031.66666666667
14,NH3,P3R2,21.9,1095,
14,NH3,P3R3,21.3,1065,
14,NH3,P4R1,22,1100,1066.66666666667
14,NH3,P4R2,21.8,1090,
14,NH3,P4R3,20.2,1010,
21,NH3,R1A,23.8,1190,1115
21,NH3,R1B,20.8,1040,
21,NH3,R2A,25.2,1260,1197.5
21,NH3,R2B,22.7,1135,
21,NH3,R3A,23.6,1180,1182.5
21,NH3,R3B,23.7,1185,
21,NH3,P0R1,21.3,1065,1103.33333333333
21,NH3,P0R2,22.4,1120,
21,NH3,P0R3,22.5,1125,
21,NH3,P1R1,21.4,1070,1010
21,NH3,P1R2,19.8,990,
21,NH3,P1R3,19.4,970,
21,NH3,P2R1,19.2,960,948.333333333333
21,NH3,P2R2,19.4,970,
21,NH3,P2R3,18.3,915,
21,NH3,P3R1,21.3,1065,1081.66666666667
21,NH3,P3R2,21.3,1065,
21,NH3,P3R3,22.3,1115,
21,NH3,P4R1,21.4,1070,978.333333333333
21,NH3,P4R2,22.5,1125,
21,NH3,P4R3,14.8,740,
28,NH3,R1A,20.8,1040,1080
28,NH3,R1B,22.4,1120,
28,NH3,R2A,27.5,1375,1267.5
28,NH3,R2B,23.2,1160,
28,NH3,R3A,25.8,1290,1255
28,NH3,R3B,24.4,1220,
28,NH3,P0R1,21.9,1095,1041.66666666667
28,NH3,P0R2,22.4,1120,
28,NH3,P0R3,18.2,910,
28,NH3,P1R1,18.3,915,976.666666666667
28,NH3,P1R2,21.2,1060,
28,NH3,P1R3,19.1,955,
28,NH3,P2R1,20.3,1015,961.666666666667
28,NH3,P2R2,20.9,1045,
28,NH3,P2R3,16.5,825,
28,NH3,P3R1,19.8,990,941.666666666667
28,NH3,P3R2,18.1,905,
28,NH3,P3R3,18.6,930,
28,NH3,P4R1,21.8,1090,940
28,NH3,P4R2,18.4,920,
28,NH3,P4R3,16.2,810,
