bug,id,day,x100,x1000,x10000,x100000,x1000000,Average
Coliforms,R1,Day 0,,,,6.3,2,1315000
,,Day 2,,,2,2,,110000
,,Day 5,,3,,,,3000
,,Day 7,3,,,,,300
,,Day 9,2,,,,,200
,,Day 14,4,,,,,400
,,Day 21,6,,,,,600
,,Day 28,2,,,,,200
,R2,Day 0,,,,14.8,,1480000
,,Day 2,,,5.2,,,52000
,,Day 5,,1,,,,1000
,,Day 7,4.1,,,,,410
,,Day 9,8.1,,,,,810
,,Day 14,2,,,,,200
,,Day 21,8,,,,,800
,,Day 28,2,,,,,200
,R3,Day 0,,,,3,7.4,3850000
,,Day 2,,,,1,,100000
,,Day 5,,2,,,,2000
,,Day 7,9.8,,,,,980
,,Day 9,9.2,,,,,920
,,Day 14,5,,,,,500
,,Day 21,5,,,,,500
,,Day 28,1,,,,,100
,P0R1,Day 0,,,,24.9,4.1,3295000
,,Day 7,3,,,,,300
,,Day 14,6,,,,,600
,,Day 21,18.1,,,,,1810
,,Day 28,10.6,,,,,1060
,P0R2,Day 0,,,,10.8,2,1540000
,,Day 7,24.1,,,,,2410
,,Day 14,4,,,,,400
,,Day 21,9,,,,,900
,,Day 28,4,,,,,400
,P0R3,Day 0,,,,26.1,3.1,2855000
,,Day 7,3,,,,,300
,,Day 14,4,,,,,400
,,Day 21,5,,,,,500
,,Day 28,4,,,,,400
,P1R1,Day 0,,,,22.8,2,2140000
,,Day 7,2,,,,,200
,,Day 14,5,,,,,500
,,Day 21,9,,,,,900
,,Day 28,4.1,,,,,410
,P1R2,Day 0,,,,16,2,1800000
,,Day 7,3,,,,,300
,,Day 14,7,,,,,700
,,Day 21,10,,,,,1000
,,Day 28,4,,,,,400
,P1R3,Day 0,,,,7.4,6.3,3520000
,,Day 7,11.9,,,,,1190
,,Day 14,10,,,,,1000
,,Day 21,7,,,,,700
,,Day 28,2,,,,,200
,P2R1,Day 0,,,,22.8,2,2140000
,,Day 7,17.9,,,,,1790
,,Day 14,15.5,,,,,1550
,,Day 21,9,,,,,900
,,Day 28,6,,,,,600
,P2R2,Day 0,,,,15,2,1750000
,,Day 7,7,,,,,700
,,Day 14,6,,,,,600
,,Day 21,10,,,,,1000
,,Day 28,8.1,,,,,810
,P2R3,Day 0,,,,24.6,3,2730000
,,Day 7,6,,,,,600
,,Day 14,10,,,,,1000
,,Day 21,25.6,,,,,2560
,,Day 28,3,,,,,300
,P3R1,Day 0,,,,24.9,2,2245000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,1,,,,,100
,,Day 28,0,,,,,0
,P3R2,Day 0,,,,23.2,3,2660000
,,Day 7,0,,,,,0
,,Day 14,1,,,,,100
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P3R3,Day 0,,,,18,3.1,2450000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P4R1,Day 0,,,14.6,1,,123000
,,Day 7,1,,,,,100
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P4R2,Day 0,,,,9.8,2,1490000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P4R3,Day 0,,,,26.1,3,2805000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
E. coli,R1,Day 0,,,,4.1,,410000
,,Day 2,,,,1,,100000
,,Day 5,,1,,,,1000
,,Day 7,1,,,,,100
,,Day 9,2,,,,,200
,,Day 14,2,,,,,200
,,Day 21,1,,,,,100
,,Day 28,0,,,,,0
,R2,Day 0,,,,12.2,,1220000
,,Day 2,,,4.1,,,41000
,,Day 5,,1,,,,1000
,,Day 7,4.1,,,,,410
,,Day 9,8.1,,,,,810
,,Day 14,2,,,,,200
,,Day 21,2,,,,,200
,,Day 28,0,,,,,0
,R3,Day 0,,,,1,3.1,1600000
,,Day 2,,,,1,,100000
,,Day 5,,2,,,,2000
,,Day 7,9.8,,,,,980
,,Day 9,9.2,,,,,920
,,Day 14,3,,,,,300
,,Day 21,1,,,,,100
,,Day 28,0,,,,,0
,P0R1,Day 0,,,,0,2,1000000
,,Day 7,2,,,,,200
,,Day 14,4,,,,,400
,,Day 21,3,,,,,300
,,Day 28,2,,,,,200
,P0R2,Day 0,,,,0,1,500000
,,Day 7,14.5,,,,,1450
,,Day 14,2,,,,,200
,,Day 21,5,,,,,500
,,Day 28,2,,,,,200
,P0R3,Day 0,,,,24.3,,2430000
,,Day 7,2,,,,,200
,,Day 14,4,,,,,400
,,Day 21,5,,,,,500
,,Day 28,1,,,,,100
,P1R1,Day 0,,,7.3,1,,173000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,2,,,,,200
,,Day 28,1,,,,,100
,P1R2,Day 0,,,5.2,,,52000
,,Day 7,1,,,,,100
,,Day 14,1,,,,,100
,,Day 21,2,,,,,200
,,Day 28,0,,,,,0
,P1R3,Day 0,,,14.6,,,146000
,,Day 7,1,,,,,100
,,Day 14,4,,,,,400
,,Day 21,2,,,,,200
,,Day 28,1,,,,,100
,P2R1,Day 0,,,2,1,,120000
,,Day 7,3,,,,,300
,,Day 14,1,,,,,100
,,Day 21,2,,,,,200
,,Day 28,2,,,,,200
,P2R2,Day 0,,,4.1,2,,241000
,,Day 7,3,,,,,300
,,Day 14,0,,,,,0
,,Day 21,3,,,,,300
,,Day 28,0,,,,,0
,P2R3,Day 0,,,1,1,,110000
,,Day 7,2,,,,,200
,,Day 14,3,,,,,300
,,Day 21,2,,,,,200
,,Day 28,2,,,,,200
,P3R1,Day 0,,,,20,1,1500000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P3R2,Day 0,,,,15,3,2250000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P3R3,Day 0,,,,10,2,1500000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P4R1,Day 0,,,13.6,1,,118000
,,Day 7,1,,,,,100
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P4R2,Day 0,,,,7.4,2,1370000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
,P4R3,Day 0,,,,6,3,1800000
,,Day 7,0,,,,,0
,,Day 14,0,,,,,0
,,Day 21,0,,,,,0
,,Day 28,0,,,,,0
Enterococci,R1,Day 0,,,3.1,2,,115500
,,Day 2,,24.1,,,,24100
,,Day 5,,29.5,,,,29500
,,Day 7,6.1,,,,,610
,,Day 14,5,,,,,500
,,Day 21,12.2,,,,,1220
,,Day 28,0,,,,,0
,R2,Day 0,,,19.9,2,,199500
,,Day 2,,8.4,,,,8400
,,Day 5,,13.4,,,,13400
,,Day 7,18.9,,,,,1890
,,Day 14,26.6,,,,,2660
,,Day 21,16.8,,,,,1680
,,Day 28,4,,,,,400
,R3,Day 0,,,8.5,2,,142500
,,Day 2,,6.3,,,,6300
,,Day 5,,19.9,,,,19900
,,Day 7,4,,,,,400
,,Day 14,32.7,,,,,3270
,,Day 21,14.2,,,,,1420
,,Day 28,2,,,,,200
,P0R1,Day 0,,46.7,17.3,,,109850
,,Day 7,27.2,,,,,2720
,,Day 14,33.8,,,,,3380
,,Day 21,10.2,,,,,1020
,,Day 28,2,,,,,200
,P0R2,Day 0,,,20.3,,,203000
,,Day 7,26.2,,,,,2620
,,Day 14,30.5,,,,,3050
,,Day 21,15,,,,,1500
,,Day 28,1,,,,,100
,P0R3,Day 0,,,17.5,,,175000
,,Day 7,13.5,,,,,1350
,,Day 14,17.0,,,,,1700
,,Day 21,12.1,,,,,1210
,,Day 28,2,,,,,200
,P1R1,Day 0,,,8.4,,,84000
,,Day 7,14.6,,,,,1460
,,Day 14,9.1,,,,,910
,,Day 21,5,,,,,500
