# this data was aggregated by Nolan_et_al_2018/scripts/aggregate_data.Rmd on 2018-05-01
"day","treatment","biorep","techrep","measure","value"
"10",2,"P0","1",1,"CH4",36.3034835305725
"11",2,"P0","1",2,"CH4",34.6102956544011
"12",2,"P0","1",3,"CH4",35.2202687295936
"19",2,"P0","2",1,"CH4",33.2274111778853
"20",2,"P0","2",2,"CH4",36.2465996742301
"21",2,"P0","2",3,"CH4",34.9217123730382
"24",2,"P0","3",1,"CH4",32.5931096766913
"25",2,"P0","3",2,"CH4",33.7998707371176
"26",2,"P0","3",3,"CH4",33.3698853262317
"27",2,"P1","1",1,"CH4",35.7213990246724
"28",2,"P1","1",2,"CH4",35.4423934535486
"29",2,"P1","1",3,"CH4",36.5007610526241
"30",2,"P1","2",1,"CH4",36.0334455832581
"31",2,"P1","2",2,"CH4",36.5589098639062
"32",2,"P1","2",3,"CH4",37.162426384067
"39",2,"P1","3",1,"CH4",38.2939195571465
"40",2,"P1","3",2,"CH4",38.8284758895249
"41",2,"P1","3",3,"CH4",37.9165336704224
"45",2,"P2","1",1,"CH4",40.9788166340255
"46",2,"P2","1",2,"CH4",42.665695740211
"47",2,"P2","1",3,"CH4",42.8319567657536
"48",2,"P2","2",1,"CH4",46.1057893190929
"49",2,"P2","2",2,"CH4",47.504565441482
"50",2,"P2","2",3,"CH4",46.3201922333369
"54",2,"P2","3",1,"CH4",38.7235422219198
"55",2,"P2","3",2,"CH4",39.5199415118675
"56",2,"P2","3",3,"CH4",40.2356305895623
"63",2,"P3","1",1,"CH4",32.8287071968113
"64",2,"P3","1",2,"CH4",34.277531723386
"65",2,"P3","1",3,"CH4",34.2096608432417
"66",2,"P3","2",1,"CH4",38.5262401991615
"67",2,"P3","2",2,"CH4",38.4797500472176
"68",2,"P3","2",3,"CH4",38.9099940959447
"69",2,"P3","3",1,"CH4",30.2591402451408
"70",2,"P3","3",2,"CH4",29.9886697227745
"71",2,"P3","3",3,"CH4",30.092361943916
"72",2,"P4","1",1,"CH4",37.306978309747
"73",2,"P4","1",2,"CH4",37.0690746022102
"74",2,"P4","1",3,"CH4",36.7336859817191
"75",2,"P4","2",1,"CH4",38.5262401991615
"76",2,"P4","2",2,"CH4",38.4797500472176
"77",2,"P4","2",3,"CH4",38.9099940959447
"78",2,"P4","3",1,"CH4",48.9211752253485
"79",2,"P4","3",2,"CH4",48.1153459249873
"80",2,"P4","3",3,"CH4",48.3057680355225
"81",5,"10L","1",1,"CH4",65.0133741493512
"82",5,"10L","1",2,"CH4",66.7566279634964
"83",5,"10L","1",3,"CH4",67.6069965082264
"87",5,"10L","2",1,"CH4",61.9320904018334
"88",5,"10L","2",2,"CH4",62.5397972190479
"89",5,"10L","2",3,"CH4",62.5396524510923
"93",5,"10L","3",1,"CH4",63.2247168849666
"94",5,"10L","3",2,"CH4",64.8398441061722
"95",5,"10L","3",3,"CH4",60.9241444636392
"99",5,"P0","1",1,"CH4",62.8831184936404
"100",5,"P0","1",2,"CH4",62.8674162322183
"101",5,"P0","1",3,"CH4",62.0070716614424
"108",5,"P0","2",1,"CH4",57.5280162590022
"109",5,"P0","2",2,"CH4",58.4391290510968
"110",5,"P0","2",3,"CH4",66.5084434576744
"113",5,"P0","3",1,"CH4",59.0652486824127
"114",5,"P0","3",2,"CH4",59.9532186143994
"115",5,"P0","3",3,"CH4",60.3755285511658
"119",5,"P1","1",1,"CH4",67.816583387058
"120",5,"P1","1",2,"CH4",65.5507732182689
"121",5,"P1","1",3,"CH4",65.1869553437485
